--2023-05-16 11:26:56--  https://hal.science/hal-01483773/document
Resolving hal.science (hal.science)... 193.48.96.10
Connecting to hal.science (hal.science)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 83914505 (80M) [application/pdf]
Saving to: ‘./data/0.info/1483773.pdf’

     0K .......... .......... .......... .......... ..........  0%  513K 2m40s
    50K .......... .......... .......... .......... ..........  0% 1,14M 1m55s
   100K .......... .......... .......... .......... ..........  0% 1,68M 92s
   150K .......... .......... .......... .......... ..........  0% 1,58M 82s
   200K .......... .......... .......... .......... ..........  0% 15,5M 66s
   250K .......... .......... .......... .......... ..........  0% 4,51M 58s
   300K .......... .......... .......... .......... ..........  0% 17,1M 51s
   350K .......... .......... .......... .......... ..........  0%  249K 85s
   400K .......... .......... .......... .......... ..........  0%  473M 76s
   450K .......... .......... .......... .......... ..........  0%  610M 68s
   500K .......... .......... .......... .......... ..........  0%  601M 62s
   550K .......... .......... .......... .......... ..........  0%  246K 84s
   600K .......... .......... .......... .......... ..........  0%  480M 78s
   650K .......... .......... .......... .......... ..........  0%  575M 72s
   700K .......... .......... .......... .......... ..........  0%  604M 67s
   750K .......... .......... .......... .......... ..........  0%  243K 84s
   800K .......... .......... .......... .......... ..........  1%  464M 79s
   850K .......... .......... .......... .......... ..........  1%  605M 75s
   900K .......... .......... .......... .......... ..........  1%  618M 71s
   950K .......... .......... .......... .......... ..........  1%  241K 84s
  1000K .......... .......... .......... .......... ..........  1%  339M 80s
  1050K .......... .......... .......... .......... ..........  1%  604M 76s
  1100K .......... .......... .......... .......... ..........  1%  610M 73s
  1150K .......... .......... .......... .......... ..........  1%  370M 70s
  1200K .......... .......... .......... .......... ..........  1%  247K 80s
  1250K .......... .......... .......... .......... ..........  1%  525M 77s
  1300K .......... .......... .......... .......... ..........  1%  617M 74s
  1350K .......... .......... .......... .......... ..........  1%  621M 71s
  1400K .......... .......... .......... .......... ..........  1%  247K 80s
  1450K .......... .......... .......... .......... ..........  1%  449M 77s
  1500K .......... .......... .......... .......... ..........  1%  597M 75s
  1550K .......... .......... .......... .......... ..........  1%  620M 72s
  1600K .......... .......... .......... .......... ..........  2%  246K 80s
  1650K .......... .......... .......... .......... ..........  2%  577M 78s
  1700K .......... .......... .......... .......... ..........  2%  446M 75s
  1750K .......... .......... .......... .......... ..........  2%  621M 73s
  1800K .......... .......... .......... .......... ..........  2%  247K 80s
  1850K .......... .......... .......... .......... ..........  2%  581M 78s
  1900K .......... .......... .......... .......... ..........  2%  334M 76s
  1950K .......... .......... .......... .......... ..........  2%  596M 74s
  2000K .......... .......... .......... .......... ..........  2%  236K 80s
  2050K .......... .......... .......... .......... ..........  2%  533M 78s
  2100K .......... .......... .......... .......... ..........  2%  323M 76s
  2150K .......... .......... .......... .......... ..........  2%  612M 75s
  2200K .......... .......... .......... .......... ..........  2%  239K 80s
  2250K .......... .......... .......... .......... ..........  2%  353M 79s
  2300K .......... .......... .......... .......... ..........  2%  591M 77s
  2350K .......... .......... .......... .......... ..........  2%  623M 75s
  2400K .......... .......... .......... .......... ..........  2%  294M 74s
  2450K .......... .......... .......... .......... ..........  3%  246K 79s
  2500K .......... .......... .......... .......... ..........  3%  567M 77s
  2550K .......... .......... .......... .......... ..........  3%  591M 75s
  2600K .......... .......... .......... .......... ..........  3%  511M 74s
  2650K .......... .......... .......... .......... ..........  3%  246K 79s
  2700K .......... .......... .......... .......... ..........  3%  578M 77s
  2750K .......... .......... .......... .......... ..........  3%  609M 76s
  2800K .......... .......... .......... .......... ..........  3%  371M 74s
  2850K .......... .......... .......... .......... ..........  3%  245K 79s
  2900K .......... .......... .......... .......... ..........  3%  574M 77s
  2950K .......... .......... .......... .......... ..........  3%  466M 76s
