--2023-05-12 20:10:59--  https://hal.science/hal-01429018/document
Resolving hal.science (hal.science)... 193.48.96.10
Connecting to hal.science (hal.science)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 18943353 (18M) [application/pdf]
Saving to: ‘./data/0.stat/1429018.pdf’

     0K .......... .......... .......... .......... ..........  0%  895K 21s
    50K .......... .......... .......... .......... ..........  0% 1,73M 15s
   100K .......... .......... .......... .......... ..........  0% 1,67M 14s
   150K .......... .......... .......... .......... ..........  1% 38,0M 10s
   200K .......... .......... .......... .......... ..........  1% 1,72M 10s
   250K .......... .......... .......... .......... ..........  1% 26,9M 9s
   300K .......... .......... .......... .......... ..........  1%  245K 18s
   350K .......... .......... .......... .......... ..........  2%  568M 16s
   400K .......... .......... .......... .......... ..........  2%  489M 14s
   450K .......... .......... .......... .......... ..........  2%  451M 13s
   500K .......... .......... .......... .......... ..........  2%  247K 18s
   550K .......... .......... .......... .......... ..........  3%  475M 16s
   600K .......... .......... .......... .......... ..........  3%  394M 15s
   650K .......... .......... .......... .......... ..........  3%  574M 14s
   700K .......... .......... .......... .......... ..........  4%  247K 18s
   750K .......... .......... .......... .......... ..........  4%  409M 17s
   800K .......... .......... .......... .......... ..........  4%  382M 16s
   850K .......... .......... .......... .......... ..........  4%  590M 15s
   900K .......... .......... .......... .......... ..........  5%  612M 14s
   950K .......... .......... .......... .......... ..........  5%  247K 17s
  1000K .......... .......... .......... .......... ..........  5%  516M 16s
  1050K .......... .......... .......... .......... ..........  5%  436M 15s
  1100K .......... .......... .......... .......... ..........  6%  599M 14s
  1150K .......... .......... .......... .......... ..........  6%  247K 17s
  1200K .......... .......... .......... .......... ..........  6%  460M 16s
  1250K .......... .......... .......... .......... ..........  7%  427M 15s
  1300K .......... .......... .......... .......... ..........  7%  595M 15s
  1350K .......... .......... .......... .......... ..........  7%  247K 17s
  1400K .......... .......... .......... .......... ..........  7%  528M 16s
  1450K .......... .......... .......... .......... ..........  8%  603M 15s
  1500K .......... .......... .......... .......... ..........  8%  440M 15s
  1550K .......... .......... .......... .......... ..........  8%  247K 17s
  1600K .......... .......... .......... .......... ..........  8%  461M 16s
  1650K .......... .......... .......... .......... ..........  9%  618M 15s
  1700K .......... .......... .......... .......... ..........  9%  439M 15s
  1750K .......... .......... .......... .......... ..........  9%  247K 16s
  1800K .......... .......... .......... .......... .......... 10%  463M 16s
  1850K .......... .......... .......... .......... .......... 10%  597M 15s
  1900K .......... .......... .......... .......... .......... 10%  447M 15s
  1950K .......... .......... .......... .......... .......... 10%  247K 16s
  2000K .......... .......... .......... .......... .......... 11%  364M 16s
  2050K .......... .......... .......... .......... .......... 11%  597M 15s
  2100K .......... .......... .......... .......... .......... 11%  431M 15s
  2150K .......... .......... .......... .......... .......... 11%  550M 15s
  2200K .......... .......... .......... .......... .......... 12%  247K 16s
  2250K .......... .......... .......... .......... .......... 12%  601M 15s
  2300K .......... .......... .......... .......... .......... 12%  606M 15s
  2350K .......... .......... .......... .......... .......... 12%  613M 15s
  2400K .......... .......... .......... .......... .......... 13%  246K 16s
  2450K .......... .......... .......... .......... .......... 13%  563M 15s
  2500K .......... .......... .......... .......... .......... 13%  630M 15s
  2550K .......... .......... .......... .......... .......... 14%  612M 15s
  2600K .......... .......... .......... .......... .......... 14%  246K 15s
  2650K .......... .......... .......... .......... .......... 14%  529M 15s
  2700K .......... .......... .......... .......... .......... 14%  619M 15s
  2750K .......... .......... .......... .......... .......... 15%  508M 14s
  2800K .......... .......... .......... .......... .......... 15%  246K 15s
  2850K .......... .......... .......... .......... .......... 15%  563M 15s
  2900K .......... .......... .......... .......... .......... 15%  627M 15s
  2950K .......... .......... .......... .......... .......... 16%  630M 14s
  3000K .......... .......... .......... .......... .......... 16%  247K 15s
  3050K .......... .......... .......... .......... .......... 16%  430M 15s
  3100K .......... .......... .......... .......... .......... 17%  615M 15s
  3150K .......... .......... .......... .......... .......... 17%  593M 14s
  3200K .......... .......... .......... .......... .......... 17%  247K 15s
  3250K .......... .......... .......... .......... .......... 17%  398M 15s
  3300K .......... .......... .......... .......... .......... 18%  614M 14s
  3350K .......... .......... .......... .......... .......... 18%  628M 14s
  3400K .......... .......... .......... .......... .......... 18%  247K 15s
  3450K .......... .......... .......... .......... .......... 18%  447M 15s
  3500K .......... .......... .......... .......... .......... 19%  452M 14s
  3550K .......... .......... .......... .......... .......... 19%  600M 14s
  3600K .......... .......... .......... .......... .......... 19%  492M 14s
  3650K .......... .......... .......... .......... .......... 20%  246K 14s
  3700K .......... .......... .......... .......... .......... 20%  590M 14s
  3750K .......... .......... .......... .......... .......... 20%  626M 14s
  3800K .......... .......... .......... .......... .......... 20%  565M 14s
  3850K .......... .......... .......... .......... .......... 21%  247K 14s
  3900K .......... .......... .......... .......... .......... 21%  594M 14s
  3950K .......... .......... .......... .......... .......... 21%  561M 14s
  4000K .......... .......... .......... .......... .......... 21%  506M 14s
  4050K .......... .......... .......... .......... .......... 22%  246K 14s
  4100K .......... .......... .......... .......... .......... 22%  572M 14s
  4150K .......... .......... .......... .......... .......... 22%  305M 14s
  4200K .......... .......... .......... .......... .......... 22%  566M 13s
  4250K .......... .......... .......... .......... .......... 23%  247K 14s
  4300K .......... .......... .......... .......... .......... 23%  577M 14s
  4350K .......... .......... .......... .......... .......... 23%  470M 13s
  4400K .......... .......... .......... .......... .......... 24% 84,4M 13s
  4450K .......... .......... .......... .......... .......... 24%  247K 14s
  4500K .......... .......... .......... .......... .......... 24%  539M 14s
  4550K .......... .......... .......... .......... .......... 24%  450M 13s
  4600K .......... .......... .......... .......... .......... 25%  559M 13s
  4650K .......... .......... .......... .......... .......... 25%  247K 14s
  4700K .......... .......... .......... .......... .......... 25%  449M 13s
  4750K .......... .......... .......... .......... .......... 25%  461M 13s
  4800K .......... .......... .......... .......... .......... 26%  506M 13s
  4850K .......... .......... .......... .......... .......... 26%  612M 13s
  4900K .......... .......... .......... .......... .......... 26%  247K 13s
  4950K .......... .......... .......... .......... .......... 27%  594M 13s
  5000K .......... .......... .......... .......... .......... 27%  569M 13s
  5050K .......... .......... .......... .......... .......... 27%  628M 13s
  5100K .......... .......... .......... .......... .......... 27%  246K 13s
  5150K .......... .......... .......... .......... .......... 28%  588M 13s
  5200K .......... .......... .......... .......... .......... 28%  382M 13s
  5250K .......... .......... .......... .......... .......... 28%  630M 13s
  5300K .......... .......... .......... .......... .......... 28%  247K 13s
  5350K .......... .......... .......... .......... .......... 29%  575M 13s
  5400K .......... .......... .......... .......... .......... 29%  427M 13s
  5450K .......... .......... .......... .......... .......... 29%  621M 12s
  5500K .......... .......... .......... .......... .......... 30%  247K 13s
  5550K .......... .......... .......... .......... .......... 30%  571M 13s
  5600K .......... .......... .......... .......... .......... 30%  382M 12s
  5650K .......... .......... .......... .......... .......... 30%  613M 12s
  5700K .......... .......... .......... .......... .......... 31%  247K 12s
  5750K .......... .......... .......... .......... .......... 31%  477M 12s
  5800K .......... .......... .......... .......... .......... 31%  406M 12s
  5850K .......... .......... .......... .......... .......... 31%  597M 12s
  5900K .......... .......... .......... .......... .......... 32%  247K 12s
  5950K .......... .......... .......... .......... .......... 32%  400M 12s
  6000K .......... .......... .......... .......... .......... 32%  386M 12s
  6050K .......... .......... .......... .......... .......... 32%  473M 12s
  6100K .......... .......... .......... .......... .......... 33%  618M 12s
  6150K .......... .......... .......... .......... .......... 33%  246K 12s
  6200K .......... .......... .......... .......... .......... 33%  282M 12s
  6250K .......... .......... .......... .......... .......... 34%  628M 12s
  6300K .......... .......... .......... .......... .......... 34%  633M 12s
  6350K .......... .......... .......... .......... .......... 34%  247K 12s
  6400K .......... .......... .......... .......... .......... 34%  414M 12s
  6450K .......... .......... .......... .......... .......... 35%  621M 12s
  6500K .......... .......... .......... .......... .......... 35%  628M 11s
  6550K .......... .......... .......... .......... .......... 35%  246K 12s
  6600K .......... .......... .......... .......... .......... 35%  425M 11s
  6650K .......... .......... .......... .......... .......... 36%  600M 11s
  6700K .......... .......... .......... .......... .......... 36%  339M 11s
  6750K .......... .......... .......... .......... .......... 36%  247K 11s
  6800K .......... .......... .......... .......... .......... 37%  424M 11s
  6850K .......... .......... .......... .......... .......... 37%  614M 11s
  6900K .......... .......... .......... .......... .......... 37%  629M 11s
  6950K .......... .......... .......... .......... .......... 37%  246K 11s
  7000K .......... .......... .......... .......... .......... 38%  389M 11s
  7050K .......... .......... .......... .......... .......... 38%  620M 11s
  7100K .......... .......... .......... .......... .......... 38%  629M 11s
  7150K .......... .......... .......... .......... .......... 38%  246K 11s
  7200K .......... .......... .......... .......... .......... 39%  355M 11s
  7250K .......... .......... .......... .......... .......... 39%  617M 11s
  7300K .......... .......... .......... .......... .......... 39%  620M 11s
  7350K .......... .......... .......... .......... .......... 40%  625M 11s
  7400K .......... .......... .......... .......... .......... 40%  247K 11s
  7450K .......... .......... .......... .......... .......... 40%  597M 11s
  7500K .......... .......... .......... .......... .......... 40%  456M 11s
  7550K .......... .......... .......... .......... .......... 41%  617M 10s
  7600K .......... .......... .......... .......... .......... 41%  247K 11s
  7650K .......... .......... .......... .......... .......... 41%  465M 10s
  7700K .......... .......... .......... .......... .......... 41%  603M 10s
  7750K .......... .......... .......... .......... .......... 42%  606M 10s
  7800K .......... .......... .......... .......... .......... 42%  246K 10s
  7850K .......... .......... .......... .......... .......... 42%  426M 10s
  7900K .......... .......... .......... .......... .......... 42%  605M 10s
  7950K .......... .......... .......... .......... .......... 43%  627M 10s
  8000K .......... .......... .......... .......... .......... 43%  246K 10s
  8050K .......... .......... .......... .......... .......... 43%  441M 10s
  8100K .......... .......... .......... .......... .......... 44%  605M 10s
  8150K .......... .......... .......... .......... .......... 44%  640M 10s
  8200K .......... .......... .......... .......... .......... 44%  247K 10s
  8250K .......... .......... .......... .......... .......... 44%  305M 10s
  8300K .......... .......... .......... .......... .......... 45%  611M 10s
  8350K .......... .......... .......... .......... .......... 45%  620M 10s
  8400K .......... .......... .......... .......... .......... 45%  247K 10s
  8450K .......... .......... .......... .......... .......... 45%  291M 10s
  8500K .......... .......... .......... .......... .......... 46%  587M 10s
  8550K .......... .......... .......... .......... .......... 46%  630M 10s
  8600K .......... .......... .......... .......... .......... 46%  247K 10s
  8650K .......... .......... .......... .......... .......... 47%  417M 10s
  8700K .......... .......... .......... .......... .......... 47%  606M 9s
  8750K .......... .......... .......... .......... .......... 47%  623M 9s
  8800K .......... .......... .......... .......... .......... 47%  470M 9s
  8850K .......... .......... .......... .......... .......... 48%  246K 9s
  8900K .......... .......... .......... .......... .......... 48%  603M 9s
  8950K .......... .......... .......... .......... .......... 48%  443M 9s
  9000K .......... .......... .......... .......... .......... 48%  567M 9s
