--2023-05-12 20:57:44--  https://www.hal.inserm.fr/inserm-01350891/document
Resolving www.hal.inserm.fr (www.hal.inserm.fr)... 193.48.96.10
Connecting to www.hal.inserm.fr (www.hal.inserm.fr)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 111902928 (107M) [application/pdf]
Saving to: ‘./data/0.sdv/1350891.pdf’

     0K .......... .......... .......... .......... ..........  0%  889K 2m3s
    50K .......... .......... .......... .......... ..........  0% 1,73M 92s
   100K .......... .......... .......... .......... ..........  0%  895K 1m42s
   150K .......... .......... .......... .......... ..........  0% 21,9M 78s
   200K .......... .......... .......... .......... ..........  0%  144M 62s
   250K .......... .......... .......... .......... ..........  0% 1,71M 62s
   300K .......... .......... .......... .......... ..........  0% 21,3M 54s
   350K .......... .......... .......... .......... ..........  0%  242K 1m43s
   400K .......... .......... .......... .......... ..........  0%  391M 92s
   450K .......... .......... .......... .......... ..........  0%  409M 83s
   500K .......... .......... .......... .......... ..........  0%  595M 75s
   550K .......... .......... .......... .......... ..........  0%  246K 1m46s
   600K .......... .......... .......... .......... ..........  0%  536M 98s
   650K .......... .......... .......... .......... ..........  0%  616M 91s
   700K .......... .......... .......... .......... ..........  0% 51,1M 85s
   750K .......... .......... .......... .......... ..........  0%  248K 1m47s
   800K .......... .......... .......... .......... ..........  0%  476M 1m40s
   850K .......... .......... .......... .......... ..........  0%  614M 95s
   900K .......... .......... .......... .......... ..........  0%  621M 90s
   950K .......... .......... .......... .......... ..........  0%  246K 1m47s
  1000K .......... .......... .......... .......... ..........  0%  372M 1m42s
  1050K .......... .......... .......... .......... ..........  1%  611M 97s
  1100K .......... .......... .......... .......... ..........  1%  617M 93s
  1150K .......... .......... .......... .......... ..........  1%  247K 1m47s
  1200K .......... .......... .......... .......... ..........  1%  343M 1m43s
  1250K .......... .......... .......... .......... ..........  1%  424M 99s
  1300K .......... .......... .......... .......... ..........  1%  614M 95s
  1350K .......... .......... .......... .......... ..........  1%  623M 92s
  1400K .......... .......... .......... .......... ..........  1%  247K 1m44s
  1450K .......... .......... .......... .......... ..........  1%  596M 1m40s
  1500K .......... .......... .......... .......... ..........  1%  434M 97s
  1550K .......... .......... .......... .......... ..........  1%  620M 94s
  1600K .......... .......... .......... .......... ..........  1%  246K 1m44s
  1650K .......... .......... .......... .......... ..........  1%  449M 1m41s
  1700K .......... .......... .......... .......... ..........  1%  623M 98s
  1750K .......... .......... .......... .......... ..........  1%  640M 95s
  1800K .......... .......... .......... .......... ..........  1%  247K 1m45s
  1850K .......... .......... .......... .......... ..........  1%  575M 1m42s
  1900K .......... .......... .......... .......... ..........  1%  443M 99s
  1950K .......... .......... .......... .......... ..........  1%  632M 97s
  2000K .......... .......... .......... .......... ..........  1%  246K 1m45s
  2050K .......... .......... .......... .......... ..........  1%  588M 1m42s
  2100K .......... .......... .......... .......... ..........  1%  302M 1m40s
  2150K .......... .......... .......... .......... ..........  2%  619M 98s
  2200K .......... .......... .......... .......... ..........  2%  247K 1m45s
  2250K .......... .......... .......... .......... ..........  2%  552M 1m43s
  2300K .......... .......... .......... .......... ..........  2%  605M 1m40s
  2350K .......... .......... .......... .......... ..........  2%  615M 98s
  2400K .......... .......... .......... .......... ..........  2%  246K 1m45s
  2450K .......... .......... .......... .......... ..........  2%  526M 1m43s
  2500K .......... .......... .......... .......... ..........  2%  607M 1m41s
  2550K .......... .......... .......... .......... ..........  2%  432M 99s
  2600K .......... .......... .......... .......... ..........  2%  247K 1m45s
  2650K .......... .......... .......... .......... ..........  2%  347M 1m43s
  2700K .......... .......... .......... .......... ..........  2%  388M 1m41s
