--2023-05-13 00:54:21--  https://www.hal.inserm.fr/inserm-01335683/document
Resolving www.hal.inserm.fr (www.hal.inserm.fr)... 193.48.96.10
Connecting to www.hal.inserm.fr (www.hal.inserm.fr)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 40280512 (38M) [application/pdf]
Saving to: ‘./data/0.sdv/1335683.pdf’

     0K .......... .......... .......... .......... ..........  0%  892K 44s
    50K .......... .......... .......... .......... ..........  0% 1,79M 33s
   100K .......... .......... .......... .......... ..........  0% 1,71M 29s
   150K .......... .......... .......... .......... ..........  0% 1,64M 28s
   200K .......... .......... .......... .......... ..........  0% 1,69M 27s
   250K .......... .......... .......... .......... ..........  0% 33,7M 22s
   300K .......... .......... .......... .......... ..........  0% 43,5M 19s
   350K .......... .......... .......... .......... ..........  1%  243K 37s
   400K .......... .......... .......... .......... ..........  1%  452M 33s
   450K .......... .......... .......... .......... ..........  1%  461M 29s
   500K .......... .......... .......... .......... ..........  1%  482M 27s
   550K .......... .......... .......... .......... ..........  1%  247K 38s
   600K .......... .......... .......... .......... ..........  1%  537M 35s
   650K .......... .......... .......... .......... ..........  1%  631M 32s
   700K .......... .......... .......... .......... ..........  1%  354M 30s
   750K .......... .......... .......... .......... ..........  2%  246K 38s
   800K .......... .......... .......... .......... ..........  2% 20,5M 36s
   850K .......... .......... .......... .......... ..........  2%  587M 34s
   900K .......... .......... .......... .......... ..........  2%  592M 32s
   950K .......... .......... .......... .......... ..........  2%  241K 38s
  1000K .......... .......... .......... .......... ..........  2%  305M 36s
  1050K .......... .......... .......... .......... ..........  2%  409M 35s
  1100K .......... .......... .......... .......... ..........  2%  605M 33s
  1150K .......... .......... .......... .......... ..........  3%  460M 32s
  1200K .......... .......... .......... .......... ..........  3%  247K 37s
  1250K .......... .......... .......... .......... ..........  3%  440M 35s
  1300K .......... .......... .......... .......... ..........  3%  539M 34s
  1350K .......... .......... .......... .......... ..........  3%  626M 32s
  1400K .......... .......... .......... .......... ..........  3%  247K 37s
  1450K .......... .......... .......... .......... ..........  3%  561M 35s
  1500K .......... .......... .......... .......... ..........  3%  454M 34s
  1550K .......... .......... .......... .......... ..........  4%  620M 33s
  1600K .......... .......... .......... .......... ..........  4%  247K 37s
  1650K .......... .......... .......... .......... ..........  4%  574M 36s
  1700K .......... .......... .......... .......... ..........  4%  460M 34s
  1750K .......... .......... .......... .......... ..........  4% 83,1M 33s
  1800K .......... .......... .......... .......... ..........  4%  247K 37s
  1850K .......... .......... .......... .......... ..........  4%  597M 36s
  1900K .......... .......... .......... .......... ..........  4%  440M 35s
  1950K .......... .......... .......... .......... ..........  5%  630M 34s
  2000K .......... .......... .......... .......... ..........  5%  246K 37s
  2050K .......... .......... .......... .......... ..........  5%  390M 36s
  2100K .......... .......... .......... .......... ..........  5%  136M 35s
  2150K .......... .......... .......... .......... ..........  5%  595M 34s
  2200K .......... .......... .......... .......... ..........  5%  247K 37s
  2250K .......... .......... .......... .......... ..........  5%  361M 36s
  2300K .......... .......... .......... .......... ..........  5%  416M 35s
  2350K .......... .......... .......... .......... ..........  6%  597M 34s
  2400K .......... .......... .......... .......... ..........  6%  247K 36s
  2450K .......... .......... .......... .......... ..........  6%  407M 36s
  2500K .......... .......... .......... .......... ..........  6%  607M 35s
  2550K .......... .......... .......... .......... ..........  6%  599M 34s
  2600K .......... .......... .......... .......... ..........  6%  561M 33s
  2650K .......... .......... .......... .......... ..........  6%  246K 36s
  2700K .......... .......... .......... .......... ..........  6%  440M 35s
  2750K .......... .......... .......... .......... ..........  7%  575M 34s
  2800K .......... .......... .......... .......... ..........  7%  489M 34s
  2850K .......... .......... .......... .......... ..........  7%  247K 35s
  2900K .......... .......... .......... .......... ..........  7%  561M 35s
  2950K .......... .......... .......... .......... ..........  7%  621M 34s
  3000K .......... .......... .......... .......... ..........  7%  404M 34s
  3050K .......... .......... .......... .......... ..........  7%  247K 35s
  3100K .......... .......... .......... .......... ..........  8%  291M 35s
  3150K .......... .......... .......... .......... ..........  8%  563M 34s
  3200K .......... .......... .......... .......... ..........  8%  506M 34s
  3250K .......... .......... .......... .......... ..........  8%  247K 35s
  3300K .......... .......... .......... .......... ..........  8%  579M 35s
  3350K .......... .......... .......... .......... ..........  8%  631M 34s
  3400K .......... .......... .......... .......... ..........  8%  566M 34s
  3450K .......... .......... .......... .......... ..........  8%  247K 35s
  3500K .......... .......... .......... .......... ..........  9%  423M 35s
  3550K .......... .......... .......... .......... ..........  9%  604M 34s
  3600K .......... .......... .......... .......... ..........  9%  185M 34s
  3650K .......... .......... .......... .......... ..........  9%  247K 35s
  3700K .......... .......... .......... .......... ..........  9%  350M 35s
  3750K .......... .......... .......... .......... ..........  9%  545M 34s
  3800K .......... .......... .......... .......... ..........  9%  547M 34s
  3850K .......... .......... .......... .......... ..........  9%  466M 33s
  3900K .......... .......... .......... .......... .......... 10%  247K 34s
  3950K .......... .......... .......... .......... .......... 10%  463M 34s
  4000K .......... .......... .......... .......... .......... 10%  499M 33s
  4050K .......... .......... .......... .......... .......... 10%  616M 33s
  4100K .......... .......... .......... .......... .......... 10%  247K 34s
  4150K .......... .......... .......... .......... .......... 10%  456M 34s
  4200K .......... .......... .......... .......... .......... 10%  528M 33s
  4250K .......... .......... .......... .......... .......... 10%  617M 33s
  4300K .......... .......... .......... .......... .......... 11%  247K 34s
  4350K .......... .......... .......... .......... .......... 11%  568M 34s
  4400K .......... .......... .......... .......... .......... 11%  502M 33s
  4450K .......... .......... .......... .......... .......... 11%  616M 33s
  4500K .......... .......... .......... .......... .......... 11%  246K 34s
  4550K .......... .......... .......... .......... .......... 11%  560M 34s
  4600K .......... .......... .......... .......... .......... 11%  414M 33s
  4650K .......... .......... .......... .......... .......... 11%  566M 33s
  4700K .......... .......... .......... .......... .......... 12%  247K 34s
  4750K .......... .......... .......... .......... .......... 12%  423M 33s
  4800K .......... .......... .......... .......... .......... 12%  391M 33s
  4850K .......... .......... .......... .......... .......... 12%  612M 33s
  4900K .......... .......... .......... .......... .......... 12%  247K 34s
  4950K .......... .......... .......... .......... .......... 12%  397M 33s
  5000K .......... .......... .......... .......... .......... 12%  427M 33s
  5050K .......... .......... .......... .......... .......... 12%  606M 33s
  5100K .......... .......... .......... .......... .......... 13%  583M 32s
  5150K .......... .......... .......... .......... .......... 13%  246K 33s
  5200K .......... .......... .......... .......... .......... 13%  465M 33s
  5250K .......... .......... .......... .......... .......... 13%  609M 32s
  5300K .......... .......... .......... .......... .......... 13%  617M 32s
  5350K .......... .......... .......... .......... .......... 13%  247K 33s
  5400K .......... .......... .......... .......... .......... 13%  440M 33s
  5450K .......... .......... .......... .......... .......... 13%  610M 32s
  5500K .......... .......... .......... .......... .......... 14%  608M 32s
  5550K .......... .......... .......... .......... .......... 14%  247K 33s
  5600K .......... .......... .......... .......... .......... 14%  466M 33s
  5650K .......... .......... .......... .......... .......... 14%  579M 32s
  5700K .......... .......... .......... .......... .......... 14%  455M 32s
  5750K .......... .......... .......... .......... .......... 14%  247K 33s
  5800K .......... .......... .......... .......... .......... 14%  516M 32s
  5850K .......... .......... .......... .......... .......... 14%  466M 32s
  5900K .......... .......... .......... .......... .......... 15%  612M 32s
  5950K .......... .......... .......... .......... .......... 15%  247K 33s
  6000K .......... .......... .......... .......... .......... 15%  305M 32s
  6050K .......... .......... .......... .......... .......... 15%  610M 32s
  6100K .......... .......... .......... .......... .......... 15%  615M 32s
  6150K .......... .......... .......... .......... .......... 15%  247K 32s
  6200K .......... .......... .......... .......... .......... 15%  387M 32s
  6250K .......... .......... .......... .......... .......... 16%  414M 32s
  6300K .......... .......... .......... .......... .......... 16%  579M 32s
  6350K .......... .......... .......... .......... .......... 16%  620M 31s
  6400K .......... .......... .......... .......... .......... 16%  247K 32s
  6450K .......... .......... .......... .......... .......... 16%  569M 32s
  6500K .......... .......... .......... .......... .......... 16%  454M 31s
  6550K .......... .......... .......... .......... .......... 16%  620M 31s
  6600K .......... .......... .......... .......... .......... 16%  247K 32s
  6650K .......... .......... .......... .......... .......... 17%  568M 32s
  6700K .......... .......... .......... .......... .......... 17%  464M 31s
  6750K .......... .......... .......... .......... .......... 17%  596M 31s
  6800K .......... .......... .......... .......... .......... 17%  246K 32s
  6850K .......... .......... .......... .......... .......... 17%  558M 31s
  6900K .......... .......... .......... .......... .......... 17%  557M 31s
  6950K .......... .......... .......... .......... .......... 17%  621M 31s
  7000K .......... .......... .......... .......... .......... 17%  247K 32s
  7050K .......... .......... .......... .......... .......... 18%  432M 31s
  7100K .......... .......... .......... .......... .......... 18%  620M 31s
  7150K .......... .......... .......... .......... .......... 18%  612M 31s
  7200K .......... .......... .......... .......... .......... 18%  246K 31s
  7250K .......... .......... .......... .......... .......... 18%  443M 31s
  7300K .......... .......... .......... .......... .......... 18%  624M 31s
  7350K .......... .......... .......... .......... .......... 18%  604M 31s
  7400K .......... .......... .......... .......... .......... 18%  247K 31s
  7450K .......... .......... .......... .......... .......... 19%  365M 31s
  7500K .......... .......... .......... .......... .......... 19%  603M 31s
  7550K .......... .......... .......... .......... .......... 19%  617M 30s
  7600K .......... .......... .......... .......... .......... 19%  246K 31s
  7650K .......... .......... .......... .......... .......... 19%  389M 31s
  7700K .......... .......... .......... .......... .......... 19%  583M 31s
  7750K .......... .......... .......... .......... .......... 19%  585M 30s
  7800K .......... .......... .......... .......... .......... 19%  563M 30s
  7850K .......... .......... .......... .......... .......... 20%  247K 31s
  7900K .......... .......... .......... .......... .......... 20%  578M 30s
  7950K .......... .......... .......... .......... .......... 20%  493M 30s
  8000K .......... .......... .......... .......... .......... 20%  454M 30s
  8050K .......... .......... .......... .......... .......... 20%  247K 30s
  8100K .......... .......... .......... .......... .......... 20%  589M 30s
  8150K .......... .......... .......... .......... .......... 20%  519M 30s
  8200K .......... .......... .......... .......... .......... 20%  556M 30s
  8250K .......... .......... .......... .......... .......... 21%  246K 30s
  8300K .......... .......... .......... .......... .......... 21%  534M 30s
  8350K .......... .......... .......... .......... .......... 21%  464M 30s
  8400K .......... .......... .......... .......... .......... 21%  505M 30s
  8450K .......... .......... .......... .......... .......... 21%  247K 30s
  8500K .......... .......... .......... .......... .......... 21%  576M 30s
  8550K .......... .......... .......... .......... .......... 21%  464M 30s
  8600K .......... .......... .......... .......... .......... 21%  526M 29s
  8650K .......... .......... .......... .......... .......... 22%  247K 30s
  8700K .......... .......... .......... .......... .......... 22%  439M 30s
  8750K .......... .......... .......... .......... .......... 22%  449M 30s
  8800K .......... .......... .......... .......... .......... 22%  504M 29s
  8850K .......... .......... .......... .......... .......... 22%  247K 30s
  8900K .......... .......... .......... .......... .......... 22%  407M 30s
  8950K .......... .......... .......... .......... .......... 22%  603M 29s
  9000K .......... .......... .......... .......... .......... 23%  560M 29s
  9050K .......... .......... .......... .......... .......... 23%  609M 29s
  9100K .......... .......... .......... .......... .......... 23%  246K 29s
  9150K .......... .......... .......... .......... .......... 23%  587M 29s
  9200K .......... .......... .......... .......... .......... 23%  375M 29s
  9250K .......... .......... .......... .......... .......... 23%  416M 29s
  9300K .......... .......... .......... .......... .......... 23%  247K 29s
  9350K .......... .......... .......... .......... .......... 23%  563M 29s
  9400K .......... .......... .......... .......... .......... 24%  424M 29s
  9450K .......... .......... .......... .......... .......... 24%  608M 29s
  9500K .......... .......... .......... .......... .......... 24%  247K 29s
  9550K .......... .......... .......... .......... .......... 24%  433M 29s
  9600K .......... .......... .......... .......... .......... 24%  504M 29s
  9650K .......... .......... .......... .......... .......... 24%  623M 28s
  9700K .......... .......... .......... .......... .......... 24%  247K 29s
  9750K .......... .......... .......... .......... .......... 24%  583M 29s
  9800K .......... .......... .......... .......... .......... 25%  498M 29s
  9850K .......... .......... .......... .......... .......... 25%  618M 28s
  9900K .......... .......... .......... .......... .......... 25%  240K 29s
  9950K .......... .......... .......... .......... .......... 25%  436M 29s
 10000K .......... .......... .......... .......... .......... 25%  390M 28s
 10050K .......... .......... .......... .......... .......... 25%  629M 28s
 10100K .......... .......... .......... .......... .......... 25%  592M 28s
 10150K .......... .......... .......... .......... .......... 25%  244K 28s
 10200K .......... .......... .......... .......... .......... 26%  525M 28s
 10250K .......... .......... .......... .......... .......... 26%  468M 28s
 10300K .......... .......... .......... .......... .......... 26%  553M 28s
 10350K .......... .......... .......... .......... .......... 26%  247K 28s
 10400K .......... .......... .......... .......... .......... 26%  349M 28s
 10450K .......... .......... .......... .......... .......... 26%  592M 28s
 10500K .......... .......... .......... .......... .......... 26%  588M 28s
 10550K .......... .......... .......... .......... .......... 26%  247K 28s
 10600K .......... .......... .......... .......... .......... 27%  411M 28s
 10650K .......... .......... .......... .......... .......... 27%  603M 28s
 10700K .......... .......... .......... .......... .......... 27%  629M 28s
 10750K .......... .......... .......... .......... .......... 27%  247K 28s
 10800K .......... .......... .......... .......... .......... 27%  378M 28s
 10850K .......... .......... .......... .......... .......... 27%  617M 28s
 10900K .......... .......... .......... .......... .......... 27%  614M 27s
 10950K .......... .......... .......... .......... .......... 27%  247K 28s
 11000K .......... .......... .......... .......... .......... 28%  465M 28s
 11050K .......... .......... .......... .......... .......... 28%  599M 27s
 11100K .......... .......... .......... .......... .......... 28%  619M 27s
 11150K .......... .......... .......... .......... .......... 28%  247K 28s
 11200K .......... .......... .......... .......... .......... 28%  346M 27s
 11250K .......... .......... .......... .......... .......... 28%  436M 27s
 11300K .......... .......... .......... .......... .......... 28%  419M 27s
 11350K .......... .......... .......... .......... .......... 28%  605M 27s
 11400K .......... .......... .......... .......... .......... 29%  247K 27s
 11450K .......... .......... .......... .......... .......... 29%  455M 27s
 11500K .......... .......... .......... .......... .......... 29%  570M 27s
 11550K .......... .......... .......... .......... .......... 29%  636M 27s
 11600K .......... .......... .......... .......... .......... 29%  247K 27s
 11650K .......... .......... .......... .......... .......... 29%  428M 27s
 11700K .......... .......... .......... .......... .......... 29%  547M 27s
 11750K .......... .......... .......... .......... .......... 29%  614M 27s
 11800K .......... .......... .......... .......... .......... 30%  247K 27s
 11850K .......... .......... .......... .......... .......... 30%  580M 27s
 11900K .......... .......... .......... .......... .......... 30%  611M 27s
 11950K .......... .......... .......... .......... .......... 30%  636M 26s
 12000K .......... .......... .......... .......... .......... 30%  246K 27s
 12050K .......... .......... .......... .......... .......... 30%  556M 26s
 12100K .......... .......... .......... .......... .......... 30%  458M 26s
 12150K .......... .......... .......... .......... .......... 31%  464M 26s
 12200K .......... .......... .......... .......... .......... 31%  247K 26s
 12250K .......... .......... .......... .......... .......... 31%  513M 26s
 12300K .......... .......... .......... .......... .......... 31%  608M 26s
 12350K .......... .......... .......... .......... .......... 31%  635M 26s
 12400K .......... .......... .......... .......... .......... 31%  246K 26s
 12450K .......... .......... .......... .......... .......... 31%  399M 26s
 12500K .......... .......... .......... .......... .......... 31%  594M 26s
 12550K .......... .......... .......... .......... .......... 32%  608M 26s
 12600K .......... .......... .......... .......... .......... 32%  246K 26s
 12650K .......... .......... .......... .......... .......... 32%  441M 26s
