--2023-05-13 02:11:46--  https://inria.hal.science/hal-01432720/document
Resolving inria.hal.science (inria.hal.science)... 193.48.96.10
Connecting to inria.hal.science (inria.hal.science)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 19656362 (19M) [application/pdf]
Saving to: ‘./data/0.sdv/1432720.pdf’

     0K .......... .......... .......... .......... ..........  0%  879K 22s
    50K .......... .......... .......... .......... ..........  0% 1,08M 19s
   100K .......... .......... .......... .......... ..........  0% 1,35M 18s
   150K .......... .......... .......... .......... ..........  1% 1,72M 16s
   200K .......... .......... .......... .......... ..........  1%  441M 13s
   250K .......... .......... .......... .......... ..........  1% 21,7M 11s
   300K .......... .......... .......... .......... ..........  1%  244K 20s
   350K .......... .......... .......... .......... ..........  2%  434M 18s
   400K .......... .......... .......... .......... ..........  2%  489M 16s
   450K .......... .......... .......... .......... ..........  2%  602M 14s
   500K .......... .......... .......... .......... ..........  2%  594M 13s
   550K .......... .......... .......... .......... ..........  3%  246K 18s
   600K .......... .......... .......... .......... ..........  3%  346M 16s
   650K .......... .......... .......... .......... ..........  3%  578M 15s
   700K .......... .......... .......... .......... ..........  3%  571M 14s
   750K .......... .......... .......... .......... ..........  4%  243K 18s
   800K .......... .......... .......... .......... ..........  4%  465M 17s
   850K .......... .......... .......... .......... ..........  4%  615M 16s
   900K .......... .......... .......... .......... ..........  4%  102M 15s
   950K .......... .......... .......... .......... ..........  5%  241K 18s
  1000K .......... .......... .......... .......... ..........  5%  477M 17s
  1050K .......... .......... .......... .......... ..........  5% 52,8M 16s
  1100K .......... .......... .......... .......... ..........  5%  404M 16s
  1150K .......... .......... .......... .......... ..........  6%  248K 18s
  1200K .......... .......... .......... .......... ..........  6%  313M 17s
  1250K .......... .......... .......... .......... ..........  6%  596M 16s
  1300K .......... .......... .......... .......... ..........  7%  587M 16s
  1350K .......... .......... .......... .......... ..........  7%  247K 18s
  1400K .......... .......... .......... .......... ..........  7%  357M 17s
  1450K .......... .......... .......... .......... ..........  7%  612M 16s
  1500K .......... .......... .......... .......... ..........  8%  429M 16s
  1550K .......... .......... .......... .......... ..........  8%  613M 15s
  1600K .......... .......... .......... .......... ..........  8%  246K 17s
  1650K .......... .......... .......... .......... ..........  8%  197M 16s
  1700K .......... .......... .......... .......... ..........  9%  570M 16s
  1750K .......... .......... .......... .......... ..........  9%  619M 15s
  1800K .......... .......... .......... .......... ..........  9%  247K 17s
  1850K .......... .......... .......... .......... ..........  9%  411M 16s
  1900K .......... .......... .......... .......... .......... 10%  616M 16s
  1950K .......... .......... .......... .......... .......... 10%  617M 16s
  2000K .......... .......... .......... .......... .......... 10%  246K 17s
  2050K .......... .......... .......... .......... .......... 10%  454M 16s
  2100K .......... .......... .......... .......... .......... 11%  619M 16s
  2150K .......... .......... .......... .......... .......... 11%  218M 16s
  2200K .......... .......... .......... .......... .......... 11%  247K 17s
  2250K .......... .......... .......... .......... .......... 11%  566M 16s
  2300K .......... .......... .......... .......... .......... 12%  618M 16s
  2350K .......... .......... .......... .......... .......... 12%  624M 15s
  2400K .......... .......... .......... .......... .......... 12%  246K 16s
  2450K .......... .......... .......... .......... .......... 13%  578M 16s
  2500K .......... .......... .......... .......... .......... 13%  495M 16s
  2550K .......... .......... .......... .......... .......... 13%  599M 15s
  2600K .......... .......... .......... .......... .......... 13%  247K 16s
  2650K .......... .......... .......... .......... .......... 14%  441M 16s
  2700K .......... .......... .......... .......... .......... 14%  609M 16s
  2750K .......... .......... .......... .......... .......... 14%  465M 15s
  2800K .......... .......... .......... .......... .......... 14%  246K 16s
  2850K .......... .......... .......... .......... .......... 15%  370M 16s
  2900K .......... .......... .......... .......... .......... 15%  598M 16s
  2950K .......... .......... .......... .......... .......... 15%  616M 15s
  3000K .......... .......... .......... .......... .......... 15%  563M 15s
  3050K .......... .......... .......... .......... .......... 16%  247K 16s
  3100K .......... .......... .......... .......... .......... 16%  581M 15s
  3150K .......... .......... .......... .......... .......... 16%  613M 15s
  3200K .......... .......... .......... .......... .......... 16%  501M 15s
  3250K .......... .......... .......... .......... .......... 17%  246K 16s
  3300K .......... .......... .......... .......... .......... 17%  567M 15s
  3350K .......... .......... .......... .......... .......... 17%  617M 15s
  3400K .......... .......... .......... .......... .......... 17%  439M 15s
  3450K .......... .......... .......... .......... .......... 18%  246K 15s
  3500K .......... .......... .......... .......... .......... 18%  580M 15s
  3550K .......... .......... .......... .......... .......... 18%  561M 15s
  3600K .......... .......... .......... .......... .......... 19%  369M 15s
  3650K .......... .......... .......... .......... .......... 19%  247K 15s
  3700K .......... .......... .......... .......... .......... 19%  416M 15s
  3750K .......... .......... .......... .......... .......... 19%  619M 15s
  3800K .......... .......... .......... .......... .......... 20%  556M 14s
  3850K .......... .......... .......... .......... .......... 20%  247K 15s
  3900K .......... .......... .......... .......... .......... 20%  343M 15s
  3950K .......... .......... .......... .......... .......... 20%  607M 15s
  4000K .......... .......... .......... .......... .......... 21%  304M 14s
  4050K .......... .......... .......... .......... .......... 21%  247K 15s
  4100K .......... .......... .......... .......... .......... 21%  342M 15s
  4150K .......... .......... .......... .......... .......... 21%  611M 14s
  4200K .......... .......... .......... .......... .......... 22%  340M 14s
  4250K .......... .......... .......... .......... .......... 22%  466M 14s
  4300K .......... .......... .......... .......... .......... 22%  247K 14s
  4350K .......... .......... .......... .......... .......... 22%  576M 14s
  4400K .......... .......... .......... .......... .......... 23%  502M 14s
  4450K .......... .......... .......... .......... .......... 23%  622M 14s
  4500K .......... .......... .......... .......... .......... 23%  247K 14s
  4550K .......... .......... .......... .......... .......... 23%  584M 14s
  4600K .......... .......... .......... .......... .......... 24%  554M 14s
  4650K .......... .......... .......... .......... .......... 24%  624M 14s
  4700K .......... .......... .......... .......... .......... 24%  246K 14s
  4750K .......... .......... .......... .......... .......... 25%  599M 14s
  4800K .......... .......... .......... .......... .......... 25%  393M 14s
  4850K .......... .......... .......... .......... .......... 25%  591M 14s
  4900K .......... .......... .......... .......... .......... 25%  247K 14s
  4950K .......... .......... .......... .......... .......... 26%  569M 14s
  5000K .......... .......... .......... .......... .......... 26%  455M 14s
  5050K .......... .......... .......... .......... .......... 26%  625M 13s
  5100K .......... .......... .......... .......... .......... 26%  246K 14s
  5150K .......... .......... .......... .......... .......... 27%  464M 14s
  5200K .......... .......... .......... .......... .......... 27%  409M 13s
  5250K .......... .......... .......... .......... .......... 27%  576M 13s
  5300K .......... .......... .......... .......... .......... 27%  247K 14s
  5350K .......... .......... .......... .......... .......... 28%  303M 13s
  5400K .......... .......... .......... .......... .......... 28%  553M 13s
  5450K .......... .......... .......... .......... .......... 28%  625M 13s
  5500K .......... .......... .......... .......... .......... 28%  576M 13s
  5550K .......... .......... .......... .......... .......... 29%  247K 13s
  5600K .......... .......... .......... .......... .......... 29%  390M 13s
  5650K .......... .......... .......... .......... .......... 29%  634M 13s
  5700K .......... .......... .......... .......... .......... 29%  589M 13s
  5750K .......... .......... .......... .......... .......... 30%  247K 13s
  5800K .......... .......... .......... .......... .......... 30%  445M 13s
  5850K .......... .......... .......... .......... .......... 30%  600M 13s
  5900K .......... .......... .......... .......... .......... 30%  582M 13s
  5950K .......... .......... .......... .......... .......... 31%  247K 13s
