--2023-05-13 03:49:43--  https://hal-inrap.archives-ouvertes.fr/hal-01490639/document
Resolving hal-inrap.archives-ouvertes.fr (hal-inrap.archives-ouvertes.fr)... 193.48.96.10
Connecting to hal-inrap.archives-ouvertes.fr (hal-inrap.archives-ouvertes.fr)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 54897894 (52M) [application/pdf]
Saving to: ‘./data/0.sdu/1490639.pdf’

     0K .......... .......... .......... .......... ..........  0%  891K 60s
    50K .......... .......... .......... .......... ..........  0% 1,64M 46s
   100K .......... .......... .......... .......... ..........  0% 29,1M 31s
   150K .......... .......... .......... .......... ..........  0% 45,9M 24s
   200K .......... .......... .......... .......... ..........  0% 1,69M 25s
   250K .......... .......... .......... .......... ..........  0% 21,1M 21s
   300K .......... .......... .......... .......... ..........  0%  245K 49s
   350K .......... .......... .......... .......... ..........  0%  510M 43s
   400K .......... .......... .......... .......... ..........  0%  457M 38s
   450K .......... .......... .......... .......... ..........  0%  481M 34s
   500K .......... .......... .......... .......... ..........  1%  247K 51s
   550K .......... .......... .......... .......... ..........  1%  531M 47s
   600K .......... .......... .......... .......... ..........  1%  511M 43s
   650K .......... .......... .......... .......... ..........  1%  495M 40s
   700K .......... .......... .......... .......... ..........  1%  247K 51s
   750K .......... .......... .......... .......... ..........  1%  495M 48s
   800K .......... .......... .......... .......... ..........  1%  484M 45s
   850K .......... .......... .......... .......... ..........  1%  541M 43s
   900K .......... .......... .......... .......... ..........  1%  223K 53s
   950K .......... .......... .......... .......... ..........  1%  549M 50s
  1000K .......... .......... .......... .......... ..........  1%  413M 48s
  1050K .......... .......... .......... .......... ..........  2%  481M 46s
  1100K .......... .......... .......... .......... ..........  2%  523M 44s
  1150K .......... .......... .......... .......... ..........  2%  244K 51s
  1200K .......... .......... .......... .......... ..........  2%  377M 49s
  1250K .......... .......... .......... .......... ..........  2%  582M 47s
  1300K .......... .......... .......... .......... ..........  2%  534M 45s
  1350K .......... .......... .......... .......... ..........  2%  247K 51s
  1400K .......... .......... .......... .......... ..........  2%  388M 49s
  1450K .......... .......... .......... .......... ..........  2%  607M 47s
  1500K .......... .......... .......... .......... ..........  2%  531M 46s
  1550K .......... .......... .......... .......... ..........  2%  246K 51s
  1600K .......... .......... .......... .......... ..........  3%  444M 49s
  1650K .......... .......... .......... .......... ..........  3%  467M 48s
  1700K .......... .......... .......... .......... ..........  3%  563M 46s
  1750K .......... .......... .......... .......... ..........  3%  247K 51s
  1800K .......... .......... .......... .......... ..........  3%  457M 50s
  1850K .......... .......... .......... .......... ..........  3%  429M 48s
  1900K .......... .......... .......... .......... ..........  3%  544M 47s
  1950K .......... .......... .......... .......... ..........  3%  246K 51s
  2000K .......... .......... .......... .......... ..........  3% 38,1M 50s
  2050K .......... .......... .......... .......... ..........  3%  413M 48s
  2100K .......... .......... .......... .......... ..........  4%  368M 47s
  2150K .......... .......... .......... .......... ..........  4%  583M 46s
  2200K .......... .......... .......... .......... ..........  4%  248K 50s
  2250K .......... .......... .......... .......... ..........  4%  569M 49s
  2300K .......... .......... .......... .......... ..........  4%  467M 47s
  2350K .......... .......... .......... .......... ..........  4%  600M 46s
  2400K .......... .......... .......... .......... ..........  4%  247K 50s
  2450K .......... .......... .......... .......... ..........  4%  576M 49s
  2500K .......... .......... .......... .......... ..........  4%  437M 48s
  2550K .......... .......... .......... .......... ..........  4%  597M 47s
  2600K .......... .......... .......... .......... ..........  4%  246K 50s
  2650K .......... .......... .......... .......... ..........  5% 95,9M 49s
  2700K .......... .......... .......... .......... ..........  5%  408M 48s
  2750K .......... .......... .......... .......... ..........  5%  585M 47s
  2800K .......... .......... .......... .......... ..........  5%  247K 50s
  2850K .......... .......... .......... .......... ..........  5%  575M 49s
  2900K .......... .......... .......... .......... ..........  5%  590M 48s
  2950K .......... .......... .......... .......... ..........  5%  393M 47s
  3000K .......... .......... .......... .......... ..........  5%  247K 50s
  3050K .......... .......... .......... .......... ..........  5%  541M 49s
  3100K .......... .......... .......... .......... ..........  5%  601M 48s
  3150K .......... .......... .......... .......... ..........  5%  429M 47s
  3200K .......... .......... .......... .......... ..........  6%  247K 49s
