--2023-05-16 21:27:09--  https://hal-insu.archives-ouvertes.fr/insu-01494363/document
Resolving hal-insu.archives-ouvertes.fr (hal-insu.archives-ouvertes.fr)... 193.48.96.10
Connecting to hal-insu.archives-ouvertes.fr (hal-insu.archives-ouvertes.fr)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 103814165 (99M) [application/pdf]
Saving to: ‘./data/0.sdu/1494363.pdf’

     0K .......... .......... .......... .......... ..........  0%  859K 1m58s
    50K .......... .......... .......... .......... ..........  0% 1,57M 91s
   100K .......... .......... .......... .......... ..........  0% 1,85M 78s
   150K .......... .......... .......... .......... ..........  0% 28,3M 59s
   200K .......... .......... .......... .......... ..........  0% 44,2M 48s
   250K .......... .......... .......... .......... ..........  0% 1,74M 49s
   300K .......... .......... .......... .......... ..........  0%  246K 1m41s
   350K .......... .......... .......... .......... ..........  0%  568M 88s
   400K .......... .......... .......... .......... ..........  0%  491M 79s
   450K .......... .......... .......... .......... ..........  0%  568M 71s
   500K .......... .......... .......... .......... ..........  0%  246K 1m41s
   550K .......... .......... .......... .......... ..........  0%  543M 93s
   600K .......... .......... .......... .......... ..........  0%  551M 86s
   650K .......... .......... .......... .......... ..........  0%  614M 80s
   700K .......... .......... .......... .......... ..........  0%  247K 1m42s
   750K .......... .......... .......... .......... ..........  0%  437M 95s
   800K .......... .......... .......... .......... ..........  0%  490M 90s
   850K .......... .......... .......... .......... ..........  0%  573M 85s
   900K .......... .......... .......... .......... ..........  0%  539M 80s
   950K .......... .......... .......... .......... ..........  0%  247K 96s
  1000K .......... .......... .......... .......... ..........  1%  519M 92s
  1050K .......... .......... .......... .......... ..........  1%  607M 88s
  1100K .......... .......... .......... .......... ..........  1%  533M 84s
  1150K .......... .......... .......... .......... ..........  1%  246K 97s
  1200K .......... .......... .......... .......... ..........  1%  484M 93s
  1250K .......... .......... .......... .......... ..........  1%  595M 90s
  1300K .......... .......... .......... .......... ..........  1%  615M 86s
  1350K .......... .......... .......... .......... ..........  1%  247K 98s
  1400K .......... .......... .......... .......... ..........  1%  178M 94s
