--2023-05-16 22:14:56--  https://hal.sorbonne-universite.fr/hal-01495958/document
Resolving hal.sorbonne-universite.fr (hal.sorbonne-universite.fr)... 193.48.96.10
Connecting to hal.sorbonne-universite.fr (hal.sorbonne-universite.fr)|193.48.96.10|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 15338668 (15M) [application/pdf]
Saving to: ‘./data/0.chim/1495958.pdf’

     0K .......... .......... .......... .......... ..........  0%  918K 16s
    50K .......... .......... .......... .......... ..........  0% 1,73M 12s
   100K .......... .......... .......... .......... ..........  1% 19,5M 8s
   150K .......... .......... .......... .......... ..........  1% 1,95M 8s
   200K .......... .......... .......... .......... ..........  1% 69,6M 7s
   250K .......... .......... .......... .......... ..........  2% 1,88M 7s
   300K .......... .......... .......... .......... ..........  2%  246K 14s
   350K .......... .......... .......... .......... ..........  2%  539M 12s
   400K .......... .......... .......... .......... ..........  3%  485M 11s
   450K .......... .......... .......... .......... ..........  3%  614M 10s
   500K .......... .......... .......... .......... ..........  3%  246K 14s
   550K .......... .......... .......... .......... ..........  4%  561M 13s
   600K .......... .......... .......... .......... ..........  4%  554M 12s
   650K .......... .......... .......... .......... ..........  4%  612M 11s
   700K .......... .......... .......... .......... ..........  5%  247K 14s
   750K .......... .......... .......... .......... ..........  5%  453M 13s
   800K .......... .......... .......... .......... ..........  5%  498M 12s
   850K .......... .......... .......... .......... ..........  6%  469M 12s
   900K .......... .......... .......... .......... ..........  6%  247K 14s
   950K .......... .......... .......... .......... ..........  6%  434M 13s
  1000K .......... .......... .......... .......... ..........  7%  551M 13s
  1050K .......... .......... .......... .......... ..........  7%  617M 12s
  1100K .......... .......... .......... .......... ..........  7%  530M 11s
  1150K .......... .......... .......... .......... ..........  8%  246K 13s
  1200K .......... .......... .......... .......... ..........  8%  369M 13s
  1250K .......... .......... .......... .......... ..........  8%  605M 12s
  1300K .......... .......... .......... .......... ..........  9%  510M 12s
  1350K .......... .......... .......... .......... ..........  9%  246K 13s
  1400K .......... .......... .......... .......... ..........  9%  526M 13s
  1450K .......... .......... .......... .......... .......... 10%  617M 12s
  1500K .......... .......... .......... .......... .......... 10%  603M 12s
  1550K .......... .......... .......... .......... .......... 10%  247K 13s
  1600K .......... .......... .......... .......... .......... 11%  477M 13s
  1650K .......... .......... .......... .......... .......... 11%  608M 12s
  1700K .......... .......... .......... .......... .......... 11%  626M 12s
  1750K .......... .......... .......... .......... .......... 12%  246K 13s
  1800K .......... .......... .......... .......... .......... 12%  527M 13s
  1850K .......... .......... .......... .......... .......... 12%  613M 12s
  1900K .......... .......... .......... .......... .......... 13%  609M 12s
  1950K .......... .......... .......... .......... .......... 13%  246K 13s
  2000K .......... .......... .......... .......... .......... 13%  356M 12s
  2050K .......... .......... .......... .......... .......... 14%  599M 12s
  2100K .......... .......... .......... .......... .......... 14%  613M 12s
  2150K .......... .......... .......... .......... .......... 14%  247K 13s
  2200K .......... .......... .......... .......... .......... 15%  373M 12s
  2250K .......... .......... .......... .......... .......... 15%  600M 12s
  2300K .......... .......... .......... .......... .......... 15%  599M 12s
  2350K .......... .......... .......... .......... .......... 16%  524M 11s
  2400K .......... .......... .......... .......... .......... 16%  246K 12s
  2450K .......... .......... .......... .......... .......... 16%  564M 12s
  2500K .......... .......... .......... .......... .......... 17%  617M 12s
  2550K .......... .......... .......... .......... .......... 17%  614M 11s
  2600K .......... .......... .......... .......... .......... 17%  246K 12s
  2650K .......... .......... .......... .......... .......... 18%  583M 12s
  2700K .......... .......... .......... .......... .......... 18%  628M 11s
  2750K .......... .......... .......... .......... .......... 18%  617M 11s
  2800K .......... .......... .......... .......... .......... 19%  246K 12s
  2850K .......... .......... .......... .......... .......... 19%  576M 12s
  2900K .......... .......... .......... .......... .......... 19%  618M 11s
  2950K .......... .......... .......... .......... .......... 20%  608M 11s
  3000K .......... .......... .......... .......... .......... 20%  246K 12s
  3050K .......... .......... .......... .......... .......... 20%  564M 11s
  3100K .......... .......... .......... .......... .......... 21%  607M 11s
  3150K .......... .......... .......... .......... .......... 21%  612M 11s
  3200K .......... .......... .......... .......... .......... 21%  247K 11s
  3250K .......... .......... .......... .......... .......... 22%  577M 11s
  3300K .......... .......... .......... .......... .......... 22%  592M 11s
  3350K .......... .......... .......... .......... .......... 22%  615M 11s
  3400K .......... .......... .......... .......... .......... 23%  247K 11s
  3450K .......... .......... .......... .......... .......... 23%  445M 11s
  3500K .......... .......... .......... .......... .......... 23%  608M 11s
  3550K .......... .......... .......... .......... .......... 24%  596M 11s
  3600K .......... .......... .......... .......... .......... 24%  247K 11s
  3650K .......... .......... .......... .......... .......... 24%  455M 11s
  3700K .......... .......... .......... .......... .......... 25%  599M 11s
  3750K .......... .......... .......... .......... .......... 25%  614M 11s
  3800K .......... .......... .......... .......... .......... 25%  478M 10s
  3850K .......... .......... .......... .......... .......... 26%  247K 11s
  3900K .......... .......... .......... .......... .......... 26%  586M 11s
  3950K .......... .......... .......... .......... .......... 26%  605M 10s
  4000K .......... .......... .......... .......... .......... 27%  481M 10s
  4050K .......... .......... .......... .......... .......... 27%  246K 11s
  4100K .......... .......... .......... .......... .......... 27%  570M 10s
  4150K .......... .......... .......... .......... .......... 28%  610M 10s
  4200K .......... .......... .......... .......... .......... 28%  333M 10s
  4250K .......... .......... .......... .......... .......... 28%  247K 10s
  4300K .......... .......... .......... .......... .......... 29%  577M 10s
  4350K .......... .......... .......... .......... .......... 29%  601M 10s
  4400K .......... .......... .......... .......... .......... 29%  298M 10s
  4450K .......... .......... .......... .......... .......... 30%  247K 10s
  4500K .......... .......... .......... .......... .......... 30%  581M 10s
  4550K .......... .......... .......... .......... .......... 30%  621M 10s
  4600K .......... .......... .......... .......... .......... 31%  557M 10s
  4650K .......... .......... .......... .......... .......... 31%  247K 10s
  4700K .......... .......... .......... .......... .......... 31%  465M 10s
  4750K .......... .......... .......... .......... .......... 32%  614M 10s
  4800K .......... .......... .......... .......... .......... 32%  496M 10s
  4850K .......... .......... .......... .......... .......... 32%  247K 10s
  4900K .......... .......... .......... .......... .......... 33%  427M 10s
  4950K .......... .......... .......... .......... .......... 33%  605M 10s
  5000K .......... .......... .......... .......... .......... 33%  561M 9s
  5050K .......... .......... .......... .......... .......... 34%  467M 9s
  5100K .......... .......... .......... .......... .......... 34%  247K 10s
  5150K .......... .......... .......... .......... .......... 34%  555M 9s
  5200K .......... .......... .......... .......... .......... 35%  498M 9s
  5250K .......... .......... .......... .......... .......... 35%  622M 9s
  5300K .......... .......... .......... .......... .......... 35%  246K 9s
  5350K .......... .......... .......... .......... .......... 36%  573M 9s
  5400K .......... .......... .......... .......... .......... 36%  563M 9s
  5450K .......... .......... .......... .......... .......... 36%  600M 9s
  5500K .......... .......... .......... .......... .......... 37%  246K 9s
  5550K .......... .......... .......... .......... .......... 37%  581M 9s
