Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-11 13:20:54,0.13116,11.48758,6.01758,5.47000
2023-05-11 13:20:55,0.11027,13.72695,5.87695,7.85000
2023-05-11 13:20:56,0.10645,11.35070,5.72070,5.63000
2023-05-11 13:20:57,0.11725,11.52055,6.06055,5.46000
2023-05-11 13:20:58,0.30833,12.65750,7.18750,5.47000
2023-05-11 13:20:59,0.12898,11.52102,6.04102,5.48000
2023-05-11 13:21:00,0.17929,13.32109,7.37109,5.95000
2023-05-11 13:21:01,0.13011,11.72203,6.08203,5.64000
2023-05-11 13:21:02,0.17282,12.63016,7.16016,5.47000
2023-05-11 13:21:03,0.20067,13.20774,7.42773,5.78000
2023-05-11 13:21:04,0.20569,13.37773,7.42773,5.95000
2023-05-11 13:21:05,0.20956,15.54953,7.51953,8.03000
2023-05-11 13:21:06,0.23886,15.74477,7.88477,7.86000
