Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-11 13:24:13,0.25568,12.20430,6.40430,5.80000
2023-05-11 13:24:14,0.12281,11.81953,6.01953,5.80000
2023-05-11 13:24:15,0.10628,12.90367,5.51367,7.39000
2023-05-11 13:24:16,0.10684,11.41719,5.61719,5.80000
2023-05-11 13:24:17,0.10684,11.46016,5.66016,5.80000
2023-05-11 13:24:18,0.14526,12.22953,6.26953,5.96000
2023-05-11 13:24:19,0.33866,14.11227,8.32227,5.79000
2023-05-11 13:24:20,0.26307,13.02648,7.39648,5.63000
2023-05-11 13:24:21,0.39748,14.79555,8.68555,6.11000
2023-05-11 13:24:22,0.23986,13.70977,7.75977,5.95000
2023-05-11 13:24:23,0.20388,12.87203,7.08203,5.79000
2023-05-11 13:24:24,0.14047,12.22203,6.58203,5.64000
2023-05-11 13:24:25,0.10720,11.79398,5.83398,5.96000
2023-05-11 13:24:26,0.12291,11.99477,5.88477,6.11000
2023-05-11 13:24:27,0.12876,11.70219,5.74219,5.96000
2023-05-11 13:24:28,0.11967,11.69258,5.89258,5.80000
2023-05-11 13:24:29,0.13866,12.18281,6.38281,5.80000
2023-05-11 13:24:30,0.16624,12.86438,7.23438,5.63000
2023-05-11 13:24:31,0.18182,13.67125,8.03125,5.64000
2023-05-11 13:24:32,0.12898,12.32484,6.21484,6.11000
2023-05-11 13:24:33,0.13478,12.49875,6.21875,6.28000
2023-05-11 13:24:34,0.13033,12.37758,6.26758,6.11000
2023-05-11 13:24:35,0.19215,12.16719,6.36719,5.80000
2023-05-11 13:24:36,0.18760,12.37031,6.57031,5.80000
2023-05-11 13:24:38,0.18797,12.46812,6.82813,5.64000
2023-05-11 13:24:39,0.11873,11.56172,5.76172,5.80000
2023-05-11 13:24:40,0.22500,13.34492,7.54492,5.80000
2023-05-11 13:24:41,0.16248,12.45414,6.49414,5.96000
2023-05-11 13:24:42,0.20517,12.94625,7.15625,5.79000
2023-05-11 13:24:43,0.35033,12.99508,7.20508,5.79000
2023-05-11 13:24:44,0.14226,11.76070,5.97070,5.79000
2023-05-11 13:24:45,0.14094,11.96398,6.33398,5.63000
2023-05-11 13:24:46,0.13903,12.31148,6.52148,5.79000
2023-05-11 13:24:47,0.13367,12.88875,5.96875,6.92000
2023-05-11 13:24:48,0.12698,12.19188,5.92188,6.27000
2023-05-11 13:24:49,0.15513,12.50055,6.56055,5.94000
11M	data
4
