Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-11 13:21:31,0.26527,12.21578,6.42578,5.79000
2023-05-11 13:21:32,0.22081,12.13953,6.51953,5.62000
2023-05-11 13:21:33,0.21404,11.56375,6.09375,5.47000
2023-05-11 13:21:34,0.18949,12.88586,7.25586,5.63000
2023-05-11 13:21:35,0.15602,12.46555,6.68555,5.78000
2023-05-11 13:21:36,0.16340,12.27250,6.81250,5.46000
2023-05-11 13:21:37,0.17477,12.26883,6.79883,5.47000
2023-05-11 13:21:38,0.18207,12.44656,6.97656,5.47000
2023-05-11 13:21:39,0.20263,12.33117,6.70117,5.63000
2023-05-11 13:21:40,0.22605,11.81359,6.18359,5.63000
2023-05-11 13:21:41,0.21681,11.40383,5.92383,5.48000
2023-05-11 13:21:42,0.22613,12.06938,6.10938,5.96000
2023-05-11 13:21:43,0.23746,12.90039,6.15039,6.75000
2023-05-11 13:21:45,0.23746,11.71031,6.07031,5.64000
2023-05-11 13:21:46,0.22917,11.32945,5.68945,5.64000
2023-05-11 13:21:47,0.22826,11.19461,5.72461,5.47000
2023-05-11 13:21:48,0.23141,11.57945,5.93945,5.64000
2023-05-11 13:21:49,0.22800,11.49133,5.86133,5.63000
