Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-11 13:22:35,0.39384,13.45797,7.66797,5.79000
2023-05-11 13:22:36,0.43808,13.24117,7.45117,5.79000
2023-05-11 13:22:37,0.45624,13.70602,7.91602,5.79000
2023-05-11 13:22:38,0.33982,13.05000,7.25000,5.80000
2023-05-11 13:22:39,0.25558,12.88180,7.09180,5.79000
2023-05-11 13:22:40,0.20169,12.22383,6.42383,5.80000
2023-05-11 13:22:41,0.21475,12.90125,7.28125,5.62000
2023-05-11 13:22:42,0.22056,13.15133,7.36133,5.79000
2023-05-11 13:22:44,0.19418,12.39734,6.77734,5.62000
2023-05-11 13:22:45,0.38019,13.23336,7.44336,5.79000
2023-05-11 13:22:46,0.50000,13.37789,7.58789,5.79000
2023-05-11 13:22:47,0.55257,13.50273,7.55273,5.95000
2023-05-11 13:22:48,0.43241,13.05375,7.09375,5.96000
0
