Expé,Date,Etape,SF,Volume MB,Nb de cœurs,Temps d'exécution (s),Somme (W/s),CPU (W/s),GPU (W/s),Temps d'exécution (s).1,Somme (W/s).1,CPU (W/s).1,RAM (W/s),SD (W/s),NIC (W/s)
2,12-05-2023,Chargement,1,,1,,,,,1487.014955207,3346.3540085624154,48.9661117015,2878.5914184556004,188.45841528239188,230.33806312292344
2,12-05-2023,Chargement,1,,2,,,,,797.093185039,7593.927037687722,79.5285243639,6893.113596380301,279.5782126245846,341.7067043189367
2,12-05-2023,Chargement,1,,3,,,,,491.0,5069.722449276693,74.00123530869999,4506.604270446399,220.10262458471743,269.0143189368771
2,12-05-2023,Chargement,1,,4,,,,,400.629435976,5538.181385873979,89.9282223988,5002.776153508401,200.46465448504992,245.0123554817276
2,12-05-2023,Chargement,1,,5,,,,,321.34251219,4867.134240409791,104.54242633519998,4457.281780852,137.38951495016596,167.92051827242514
2,12-05-2023,Chargement,3,,1,,,,,4851.0,21889.571412521447,134.64401401239988,17384.961817113697,1966.484511627908,2403.4810697674425
2,12-05-2023,Chargement,3,,2,,,,,2240.710602139,21470.5972956958,90.3564579525,19208.4600404011,977.3013588039864,1194.4794385382086
2,12-05-2023,Chargement,3,,3,,,,,1785.510091738,22148.314462573348,98.2552162732,19867.02329945629,982.3661760797332,1200.6697707641194
2,12-05-2023,Chargement,3,,4,,,,,1108.502591387,13794.5675585482,130.6342634983,11669.519474451896,897.4862192691018,1096.9276013289038
2,12-05-2023,Chargement,3,,5,,,,,969.501411316,13881.726576907931,150.0042634548,12205.5439745827,686.7802524916933,839.3980863787376
2,12-05-2023,Chargement,5,,1,,,,,7100.362683528,15689.31414278311,154.40955376659986,14027.50040297,678.3318837209271,829.072302325583
2,12-05-2023,Chargement,5,,2,,,,,3461.149686148,25949.93079300624,119.01999639149986,24165.61013216291,749.3852990033213,915.9153654485066
2,12-05-2023,Chargement,5,,3,,,,,2323.0,22851.633682222902,119.0408620738,21135.447903205582,718.7152126245828,878.4297043189368
2,12-05-2023,Chargement,5,,4,,,,,1861.62595498,22229.607138485702,144.41184974099988,20464.463395056995,729.3293521594674,891.4025415282406
2,12-05-2023,Chargement,5,,5,,,,,1543.365550888,21205.472461124453,139.53286686709995,19524.1109563836,693.8228870431868,848.0057508305678
2,12-05-2023,Ingestion,1,,1,,,,,818.0,26337.6982910247,10085.3999986388,16091.0863906959,161.21190169,0.0
2,12-05-2023,Ingestion,1,,2,,,,,518.0,37914.488318479496,9828.5322222175,10307.0388798865,17778.9172163755,0.0
2,12-05-2023,Ingestion,1,,3,,,,,360.0,8487.1098543327,2868.9308790315,5455.9434506074,162.23552469380002,0.0
2,12-05-2023,Ingestion,1,,4,,,,,343.0,7924.0206692095,2599.8734492315,5324.147219978,0.0,0.0
2,12-05-2023,Ingestion,1,,5,,,,,257.0,7696.159769287101,2388.0318518207,5174.547458760901,133.5804587055,0.0
2,12-05-2023,Ingestion,3,,1,,,,,2360.0,79729.13168590699,30867.7526776726,48861.3790082344,0.0,0.0
2,12-05-2023,Ingestion,3,,2,,,,,1372.0,41820.148346793,22306.5899153965,19449.1399275765,64.41850382,0.0
2,12-05-2023,Ingestion,3,,3,,,,,1146.0,23088.2606524922,4454.1109327419,18504.417713378298,129.732006372,0.0
2,12-05-2023,Ingestion,3,,4,,,,,860.0,22096.024754366,4580.885312446199,17511.1189210686,4.0205208512,0.0
2,12-05-2023,Ingestion,3,,5,,,,,723.0,32566.4940753905,4502.3654473155,28037.4733666814,26.6552613936,0.0
2,12-05-2023,Ingestion,5,,1,,,,,4597.0,150665.00517202422,61060.3526903793,89604.65248164491,0.0,0.0
2,12-05-2023,Ingestion,5,,2,,,,,2713.0,142748.5129799712,58438.651818427,83762.5445430032,547.316618541,0.0
2,12-05-2023,Ingestion,5,,3,,,,,2083.0,77808.64002301921,18966.3353542814,58081.3986486958,760.906020042,0.0
2,12-05-2023,Ingestion,5,,4,,,,,2521.0,104387.0795885022,21475.5177470634,82911.5618414388,0.0,0.0
2,12-05-2023,Ingestion,5,,5,,,,,1789.0,60591.4236191532,29468.061392703097,31123.3622264501,0.0,0.0
2,12-05-2023,script1,1,,1,,,,,42.0,106.0911476123,45.8752,60.2159476123,0.0,0.0
2,12-05-2023,script1,1,,2,,,,,10.0,82.033129491,60.48,21.553129491,0.0,0.0
2,12-05-2023,script1,1,,3,,,,,8.0,64.2680208138,46.8393333331,17.4286874807,0.0,0.0
2,12-05-2023,script1,1,,4,,,,,8.0,66.0923485796,53.396,12.6963485796,0.0,0.0
2,12-05-2023,script1,1,,5,,,,,7.0,63.006697982,47.936,15.070697982,0.0,0.0
2,12-05-2023,script1,3,,1,,,,,40.0,182.4990104705,104.944,77.5526779773,0.0023324932,0.0
2,12-05-2023,script1,3,,2,,,,,27.0,130.3368507448,80.31333333239999,50.0235174124,0.0,0.0
2,12-05-2023,script1,3,,3,,,,,16.0,127.5280683823,77.98,49.5480683823,0.0,0.0
2,12-05-2023,script1,3,,4,,,,,17.0,117.213317164,87.393090908,29.820226256,0.0,0.0
2,12-05-2023,script1,3,,5,,,,,15.0,153.3772768919,93.9773333328,59.3999435591,0.0,0.0
2,12-05-2023,script1,5,,1,,,,,38.0,193.1964979649,97.797,95.3977800997,0.0017178652,0.0
2,12-05-2023,script1,5,,2,,,,,34.0,171.8931668319,93.38,78.5131668319,0.0,0.0
2,12-05-2023,script1,5,,3,,,,,32.0,148.5415368554,79.261,69.2805368554,0.0,0.0
2,12-05-2023,script1,5,,4,,,,,31.0,165.7214190893,95.634,70.0874190893,0.0,0.0
2,12-05-2023,script1,5,,5,,,,,30.0,168.2911855256,98.686,69.6051855256,0.0,0.0
2,12-05-2023,script2,1,,1,,,,,127.0,3898.9500409726,2504.5893482547,1394.3606927178998,0.0,0.0
2,12-05-2023,script2,1,,2,,,,,112.0,4077.488896073,2737.9501122749,1339.5387837981,0.0,0.0
2,12-05-2023,script2,1,,3,,,,,110.0,4035.4540757181,2700.5332119687,1334.9208637493998,0.0,0.0
2,12-05-2023,script2,1,,4,,,,,109.103521355,5044.3469984865,2739.5992671969,2304.7477312896,0.0,0.0
2,12-05-2023,script2,1,,5,,,,,110.0,4384.987806002,3049.8588281394004,1335.1289778626,0.0,0.0
2,12-05-2023,script2,3,,1,,,,,64.0,1825.6436533658,1256.7813999958998,568.8622533699,0.0,0.0
2,12-05-2023,script2,3,,2,,,,,127.0,4277.3749380252,2988.8022828104004,1288.5726552148,0.0,0.0
2,12-05-2023,script2,3,,3,,,,,119.0,4096.9766288793,2815.3967503737,1281.5798785056,0.0,0.0
2,12-05-2023,script2,3,,4,,,,,118.114459578,4311.3225579518,3030.6433857365,1280.6791722153,0.0,0.0
2,12-05-2023,script2,3,,5,,,,,119.0,4222.3422244723,2940.8365198132,1281.5057046590998,0.0,0.0
2,12-05-2023,script2,5,,1,,,,,92.0,3568.1809551184,2155.1135511849,1413.0674039335,0.0,0.0
2,12-05-2023,script2,5,,2,,,,,333.0,15182.7718329689,8471.7792197231,6710.9926132458,0.0,0.0
2,12-05-2023,script2,5,,3,,,,,325.0,12327.315398854298,8473.728378976599,3853.5870198777,0.0,0.0
2,12-05-2023,script2,5,,4,,,,,328.0,12460.5051639009,8610.8232714393,3849.6818924616,0.0,0.0
2,12-05-2023,script2,5,,5,,,,,328.0,12570.8300615619,8737.2016319344,3833.6284296275,0.0,0.0
2,12-05-2023,script3,1,,1,,,,,136.0,6203.4066139467,3334.9239548151,2868.4826591316,0.0,0.0
2,12-05-2023,script3,1,,2,,,,,134.0,5131.138282637699,3509.1800061019,1621.9582765358,0.0,0.0
2,12-05-2023,script3,1,,3,,,,,141.0,5398.737300629,3731.5376159848,1667.1996846442,0.0,0.0
2,12-05-2023,script3,1,,4,,,,,146.0,6566.1183371876,3572.4474112334,2993.6709259542,0.0,0.0
2,12-05-2023,script3,1,,5,,,,,155.0,6689.286801866499,3667.6945280457,3021.5922738208,0.0,0.0
2,12-05-2023,script3,3,,1,,,,,236.0,8762.3594523832,5807.4386061533,2954.9208462299,0.0,0.0
2,12-05-2023,script3,3,,2,,,,,236.0,8464.4796752707,5526.2315943085005,2938.2480809622,0.0,0.0
2,12-05-2023,script3,3,,3,,,,,233.0,8421.220749992799,5489.8031728309,2931.4175771619,0.0,0.0
2,12-05-2023,script3,3,,4,,,,,235.0,8671.197945305601,5741.3630453547,2929.8348999509,0.0,0.0
2,12-05-2023,script3,3,,5,,,,,234.0,8582.983459138999,5636.7769623566,2946.2064967824,0.0,0.0
2,12-05-2023,script3,5,,1,,,,,286.0,10600.853736317298,7029.884610197699,3570.9691261196,0.0,0.0
